output,Id,Sex,hit_count,x,y
0,[183],['Female'],1,1.0,1.0
3,[162],['Female'],1,0.0,0.0
5,[158],['Female'],1,1.0,-1.0
10,[14],['Male'],1,2.0,-2.0
15,[82],['Male'],1,-1.0,2.0
18,[54],['Male'],1,1.0,-3.0
22,[96],['Male'],1,5.0,-1.0
23,[99],['Male'],1,4.0,0.0
25,"[28, 47]","['Male', 'Male']",2,3.0,-3.0
32,[190],['Female'],1,-1.0,3.0
36,[39],['Male'],1,6.0,-2.0
50,[78],['Male'],1,3.0,3.0
55,[30],['Male'],1,-1.0,-1.0
62,"[123, 151]","['Female', 'Female']",2,-2.0,-4.0
66,[31],['Male'],1,6.0,-4.0
69,[51],['Male'],1,4.0,-5.0
73,[112],['Female'],1,0.0,4.0
78,[163],['Female'],1,-2.0,3.0
82,[98],['Male'],1,7.0,-4.0
83,"[7, 106]","['Male', 'Female']",2,-3.0,-3.0
84,[53],['Male'],1,9.0,-3.0
88,[50],['Male'],1,-2.0,-5.0
93,[92],['Male'],1,-3.0,-1.0
97,[177],['Female'],1,0.0,5.0
98,[43],['Male'],1,0.0,-5.0
100,[62],['Male'],1,2.0,-6.0
103,[63],['Male'],1,0.0,-6.0
104,"[25, 71]","['Male', 'Male']",2,-4.0,-4.0
105,[77],['Male'],1,-3.0,-5.0
107,[126],['Female'],1,-4.0,3.0
109,[145],['Female'],1,-2.0,4.0
118,"[128, 186]","['Female', 'Female']",2,-7.0,2.0
119,"[114, 136]","['Female', 'Female']",2,-6.0,3.0
121,[197],['Female'],1,-2.0,6.0
123,[61],['Male'],1,-3.0,6.0
138,[102],['Female'],1,-5.0,4.0
139,[122],['Female'],1,-8.0,3.0
143,[101],['Female'],1,-8.0,2.0
152,[188],['Female'],1,-2.0,8.0
153,[111],['Female'],1,0.0,8.0
154,[113],['Female'],1,-1.0,9.0
161,[125],['Female'],1,-10.0,2.0
167,[119],['Female'],1,-7.0,7.0
169,[174],['Female'],1,-8.0,0.0
173,"[131, 165]","['Female', 'Female']",2,-6.0,7.0
175,[184],['Female'],1,3.0,5.0
178,[169],['Female'],1,-9.0,5.0
179,[172],['Female'],1,-6.0,-3.0
180,[152],['Female'],1,-5.0,-2.0
184,[191],['Female'],1,-7.0,-1.0
188,[187],['Female'],1,-11.0,2.0
189,[196],['Female'],1,-10.0,5.0
193,"[115, 176]","['Female', 'Female']",2,-4.0,0.0
195,[37],['Male'],1,5.0,3.0
198,[24],['Male'],1,1.0,-6.0
201,[29],['Male'],1,2.0,-7.0
202,[181],['Female'],1,4.0,-7.0
207,"[45, 46]","['Male', 'Male']",2,0.0,-8.0
216,[42],['Male'],1,7.0,2.0
228,[6],['Male'],1,8.0,3.0
232,[21],['Male'],1,3.0,-10.0
233,[100],['Male'],1,4.0,5.0
234,[4],['Male'],1,5.0,-8.0
247,[44],['Male'],1,-4.0,-7.0
248,"[90, 94]","['Male', 'Male']",2,-2.0,-8.0
251,"[97, 105]","['Male', 'Female']",2,-7.0,-4.0
252,"[81, 198]","['Male', 'Female']",2,-7.0,-6.0
253,"[124, 144]","['Female', 'Female']",2,-10.0,-1.0
257,[67],['Male'],1,8.0,-1.0
272,[139],['Female'],1,-13.0,3.0
277,[107],['Female'],1,-10.0,7.0
282,[141],['Female'],1,-11.0,-1.0
285,[69],['Male'],1,-12.0,-1.0
294,[121],['Female'],1,-11.0,-3.0
297,[180],['Female'],1,-13.0,2.0
298,[157],['Female'],1,-12.0,6.0
300,[200],['Female'],1,-12.0,-3.0
304,[19],['Male'],1,4.0,-10.0
309,"[3, 64]","['Male', 'Male']",2,1.0,-9.0
310,[153],['Female'],1,0.0,-10.0
318,[74],['Male'],1,7.0,-6.0
321,[17],['Male'],1,-2.0,-6.0
327,[195],['Female'],1,-5.0,-7.0
332,[40],['Male'],1,10.0,1.0
335,[59],['Male'],1,7.0,0.0
345,[9],['Male'],1,-3.0,-8.0
348,[41],['Male'],1,4.0,-11.0
350,[32],['Male'],1,-9.0,-3.0
351,[110],['Female'],1,0.0,10.0
353,[134],['Female'],1,-13.0,1.0
355,[156],['Female'],1,-5.0,9.0
356,[147],['Female'],1,-6.0,10.0
358,[192],['Female'],1,-12.0,7.0
370,[130],['Female'],1,-14.0,-3.0
371,[166],['Female'],1,-13.0,-2.0
373,[129],['Female'],1,-15.0,4.0
378,[179],['Female'],1,-13.0,0.0
385,[15],['Male'],1,-3.0,-11.0
387,[65],['Male'],1,8.0,-6.0
389,"[56, 60]","['Male', 'Male']",2,-5.0,-10.0
390,[95],['Male'],1,-4.0,-11.0
398,[89],['Male'],1,-14.0,-4.0
416,[173],['Female'],1,-11.0,8.0
417,[150],['Female'],1,-10.0,-6.0
418,[159],['Female'],1,-9.0,-7.0
419,[146],['Female'],1,-5.0,11.0
425,[11],['Male'],1,-14.0,-2.0
428,[133],['Female'],1,-16.0,4.0
431,"[12, 38]","['Male', 'Male']",2,-7.0,-7.0
435,[20],['Male'],1,-5.0,-11.0
439,[79],['Male'],1,-6.0,-10.0
440,[93],['Male'],1,-5.0,-9.0
441,[58],['Male'],1,7.0,6.0
443,[35],['Male'],1,-7.0,-8.0
444,[80],['Male'],1,-8.0,-9.0
454,[75],['Male'],1,11.0,-4.0
462,[167],['Female'],1,-8.0,10.0
464,"[108, 199]","['Female', 'Female']",2,-15.0,6.0
468,[91],['Male'],1,-11.0,-7.0
474,[87],['Male'],1,-3.0,-12.0
478,[34],['Male'],1,-1.0,-12.0
479,[33],['Male'],1,-6.0,-11.0
494,[109],['Female'],1,-5.0,12.0
497,[140],['Female'],1,-2.0,14.0
504,[178],['Female'],1,-16.0,-3.0
508,[127],['Female'],1,-17.0,2.0
515,[48],['Male'],1,-8.0,-11.0
517,[55],['Male'],1,12.0,0.0
524,[68],['Male'],1,-2.0,-12.0
525,[10],['Male'],1,-9.0,-4.0
528,[137],['Female'],1,3.0,10.0
535,[170],['Female'],1,-15.0,7.0
539,[86],['Male'],1,-4.0,-14.0
541,[72],['Male'],1,9.0,-7.0
542,[22],['Male'],1,9.0,-9.0
545,"[49, 83]","['Male', 'Male']",2,-8.0,-12.0
551,[103],['Female'],1,4.0,12.0
554,"[8, 142]","['Male', 'Female']",2,-13.0,8.0
561,"[135, 138, 175, 185]","['Female', 'Female', 'Female', 'Female']",4,-19.0,3.0
567,"[148, 161]","['Female', 'Female']",2,-10.0,-5.0
569,[5],['Male'],1,6.0,-12.0
571,"[18, 36, 57, 85]","['Male', 'Male', 'Male', 'Male']",4,2.0,-13.0
573,"[104, 154]","['Female', 'Female']",2,-16.0,1.0
575,[168],['Female'],1,7.0,10.0
576,[70],['Male'],1,7.0,8.0
577,[155],['Female'],1,-12.0,-9.0
579,[66],['Male'],1,8.0,-10.0
580,[26],['Male'],1,-5.0,-14.0
582,"[13, 23, 84]","['Male', 'Male', 'Male']",3,-4.0,-15.0
584,[1],['Male'],1,-10.0,-12.0
586,[116],['Female'],1,-9.0,11.0
587,"[118, 189]","['Female', 'Female']",2,-16.0,7.0
590,[27],['Male'],1,-12.0,-6.0
591,[2],['Male'],1,-13.0,-7.0
592,"[52, 76, 88, 117, 171]","['Male', 'Male', 'Male', 'Female', 'Female']",5,-18.0,-4.0
593,[194],['Female'],1,-17.0,-3.0
595,[132],['Female'],1,-11.0,-5.0
597,"[160, 164, 193]","['Female', 'Female', 'Female']",3,-16.0,-1.0
601,"[73, 143]","['Male', 'Female']",2,-12.0,-10.0
603,[182],['Female'],1,-11.0,-12.0
605,[16],['Male'],1,-2.0,-14.0
611,"[120, 149]","['Female', 'Female']",2,-10.0,9.0
