Method,k,CCC,Silhouette,DBI,CH,Dunn,S_Dbw,Stability_meanARI,Stability_stdARI,Biomarker_coClust,Biomarker_compactGain
RAW(z),2,0.8589824976823768,0.30949913573397647,1.5955232733605276,6976.326856333918,0.23179928386265036,0.9327485093372598,0.7769433901128243,0.03305723076266406,0.5054945054945055,0.10778408251259464
RAW(z),4,0.8589824976823768,0.17885910728860757,2.707543228364058,2606.8598158747054,0.23179928386265036,1.2186740289737787,0.772911443324225,0.03258957560862331,0.46153846153846156,0.10778408251259464
RAW(z),6,0.8589824976823768,0.17761424577011523,2.4493084928451947,1705.3441316766373,0.22305126797346606,1.1619070880517686,0.7894938935255597,0.03697294483112507,0.42857142857142855,0.10778408251259464
RAW(z),8,0.8589824976823768,0.16932283116644667,2.6390104280078477,1233.424811984094,0.22305126797346606,1.3819251686537042,0.7932869827359941,0.0420109668941919,0.42857142857142855,0.10778408251259464
RAW(z),10,0.8589824976823768,0.1598509276718604,2.6603185969596495,967.2772964811948,0.22305126797346606,1.2423927725593438,0.786493887695089,0.0419176492640701,0.42857142857142855,0.10778408251259464
PCA,2,0.8667817723775812,0.3329818861158319,1.432310146924069,7437.663814359075,0.18883124780122637,0.9138295263260467,0.724800153604282,0.044577093094090324,0.5604395604395604,0.4529560499262377
PCA,4,0.8667817723775812,0.2440927738617505,2.0046762235532865,3464.652502203287,0.18901770777799154,1.1117901960565812,0.7687124727563809,0.04872311940005464,0.38461538461538464,0.4529560499262377
PCA,6,0.8667817723775812,0.21729490209911245,2.2189766163352806,2272.3729894394055,0.18901770777799154,1.174751658902974,0.815967659832131,0.02345313665496191,0.34065934065934067,0.4529560499262377
PCA,8,0.8667817723775812,0.2107399095336039,2.217077017059598,1626.5903550474359,0.18901770777799154,1.080594930998331,0.8178292664207563,0.02603021451245365,0.34065934065934067,0.4529560499262377
PCA,10,0.8667817723775812,0.2019862403997513,2.369304814545795,1310.4500704566426,0.18901770777799154,1.191511203594414,0.8241131342925989,0.026401458426075105,0.34065934065934067,0.4529560499262377
SOM,2,0.842490893464712,0.37550130046538965,1.215415907780914,11076.515562942337,0.21056327644747033,0.9972726601793738,0.9151821166123929,0.08350679178777634,0.5604395604395604,2.4601048190064514
SOM,4,0.842490893464712,0.2631785909967919,0.9154177076074879,3694.369183332543,0.21056327644747033,0.4259855125238912,0.8725264899611256,0.18375649183405376,0.5604395604395604,2.4601048190064514
SOM,6,0.842490893464712,0.24718202285066398,0.9381030411778323,2480.1052982212905,0.21056327644747033,0.36198643771506217,0.48695962315772345,0.174886863947658,0.5604395604395604,2.4601048190064514
SOM,8,0.842490893464712,0.3810708326829342,0.8231346385415512,5483.612848244086,0.16226977412669424,0.30336687454795525,0.9488850436327741,0.025884116681938994,0.5604395604395604,2.4601048190064514
SOM,10,0.842490893464712,0.38418305799868124,0.924702711437714,5155.281003140292,0.16226977412669424,0.3525197873007661,0.9582682646562279,0.03104964048793182,0.32967032967032966,2.4601048190064514
